fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
323724,"EGG, DRIED WHITE STABILIZED, Producer C, LOT 3",sample_food,1,2019-04-01,,,,,
323725,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323726," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323727,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.54,,
323728,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323729,"EGG, DRIED WHITE STABILIZED, Producer C",sub_sample_food,1,2019-04-01,,,,,
323730,"EGG, DRIED WHITE STABILIZED, Producer C, LOT 3",sample_food,1,2019-04-01,,,,,
323731,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323732," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323733,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.72,,
323734,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323735,"EGG, DRIED WHITE STABILIZED, Producer C",sub_sample_food,1,2019-04-01,,,,,
323736,"EGG, DRIED WHITE STABILIZED, Producer D, LOT 3",sample_food,1,2019-04-01,,,,,
323737,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323738,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323739," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323740,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.61,,
323741,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323742,"EGG, DRIED WHITE STABILIZED, Producer D, LOT 3",sample_food,1,2019-04-01,,,,,
323743,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323744," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323745,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.63,,
323746,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323747,"EGG, DRIED WHITE STABILIZED, Producer D",sub_sample_food,1,2019-04-01,,,,,
323748,"EGG, DRIED WHITE STABILIZED, Producer B, LOT 3",sample_food,1,2019-04-01,,,,,
323749,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323750," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323751,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.8,,
323752,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323753,"EGG, DRIED WHITE STABILIZED, Producer B",sub_sample_food,1,2019-04-01,,,,,
323754,"EGG, DRIED WHITE STABILIZED, Producer B, LOT 3",sample_food,1,2019-04-01,,,,,
323755,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323756," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323757,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.82,,
323758,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323759,"EGG, DRIED WHITE STABILIZED, Producer B",sub_sample_food,1,2019-04-01,,,,,
323760,"EGG, DRIED WHITE STABILIZED, Producer D, LOT 3",sample_food,1,2019-04-01,,,,,
323761,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323762,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323763," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323764,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.68,,
323765,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323766,"EGG, DRIED WHITE STABILIZED, Producer D",sub_sample_food,1,2019-04-01,,,,,
323767,"EGG, DRIED WHITE STABILIZED, Producer B, LOT 3",sample_food,1,2019-04-01,,,,,
323768,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323769,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323770,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323771," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323772,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.79,,
323773,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323774,"EGG, DRIED WHITE STABILIZED, Producer A, LOT 3",sample_food,1,2019-04-01,,,,,
323775,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323776,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323777," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323778,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.8,,
323779,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323780,"EGG, DRIED WHITE STABILIZED, Producer A, LOT 3",sample_food,1,2019-04-01,,,,,
323781,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323782,Egg whites dried,sub_sample_food,1,2019-04-01,,,,,
323783," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323784,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.73,,
323785,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323786,"EGG, DRIED WHITE STABILIZED, Producer A",sub_sample_food,1,2019-04-01,,,,,
323787,"EGG, DRIED WHITE STABILIZED, Producer A, LOT 3",sample_food,1,2019-04-01,,,,,
323788,DRIED STABILIZED EGG WHITE,market_acquisition,1,2019-04-01,,,,,
323789," Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323790,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,0.6,,
323791,"Egg whites, dried",sub_sample_food,1,2019-04-01,,,,,
323792,"EGG, DRIED WHITE STABILIZED, Producer A",sub_sample_food,1,2019-04-01,,,,,
323793,"Egg, white, dried",foundation_food,1,2019-04-01,376.0,79.9,0.65,6.02,
323794,"SALSA, TOSTITOS CHUNKY - MEDIUM",sample_food,6,2019-04-01,,,,,
323795,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323796,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323797,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323798,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323799,Salsa,sub_sample_food,6,2019-04-01,,,,,
323800,Salsa,sub_sample_food,6,2019-04-01,,,0.3,,
323801,Salsa,sub_sample_food,6,2019-04-01,,,,,
323802,"SALSA, TOSTITOS CHUNKY - MEDIUM",sample_food,6,2019-04-01,,,,,
323803,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323804,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323805,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323806,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323807,Salsa,sub_sample_food,6,2019-04-01,,,,,
323808,Salsa,sub_sample_food,6,2019-04-01,,,0.2,,
323809,Salsa,sub_sample_food,6,2019-04-01,,,,,
323810,"SALSA, TOSTITOS CHUNKY - MEDIUM",sample_food,6,2019-04-01,,,,,
323811,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323812,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323813,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323814,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323815,Salsa,sub_sample_food,6,2019-04-01,,,,,
323816,Salsa,sub_sample_food,6,2019-04-01,,,0.1,,
323817,Salsa,sub_sample_food,6,2019-04-01,,,,,
323818,"SALSA, TOSTITOS CHUNKY - MEDIUM",sample_food,6,2019-04-01,,,,,
323819,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323820,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
323821,"SALSA, TOSTITOS CHUNKY - MEDIUM",market_acquisition,6,2019-04-01,,,,,
