fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",sr_legacy_food,11,2019-04-01,31.4,1.86,0.17,5.62
167604,"Potatoes, hash brown, refrigerated, unprepared",sr_legacy_food,11,2019-04-01,84.4,1.75,0.08,19.16
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",sr_legacy_food,11,2019-04-01,241.6,3.24,10.3,33.99
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",sr_legacy_food,11,2019-04-01,231.2,2.16,8.92,35.58
167607,"Moose, meat, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,102.7,22.3,1.5,0.0
167608,"Mashu roots, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,135.2,5.8,2.4,22.6
167609,"Moose, liver, braised (Alaska Native)",sr_legacy_food,24,2019-04-01,155.2,24.38,4.89,3.43
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,110.4,26.7,0.4,0.0
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",sr_legacy_food,24,2019-04-01,898.6,0.56,99.6,0.0
167612,"Oopah (tunicate), whole animal (Alaska Native)",sr_legacy_food,24,2019-04-01,66.6,11.7,2.2,0.0
167613,"Owl, horned, flesh, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,135.8,22.7,5.0,0.0
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",sr_legacy_food,24,2019-04-01,145.9,23.2,5.9,0.0
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",sr_legacy_food,24,2019-04-01,429.6,39.9,30.0,0.0
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",sr_legacy_food,24,2019-04-01,155.6,16.6,8.0,4.3
167617,"Duck, scoter, white-winged, meat (Alaska Native)",sr_legacy_food,24,2019-04-01,84.4,20.2,0.4,0.0
167618,"Sea cucumber, yane (Alaska Native)",sr_legacy_food,24,2019-04-01,55.6,13.0,0.4,0.0
167619,"Squirrel, ground, meat (Alaska Native)",sr_legacy_food,24,2019-04-01,111.4,19.3,3.8,0.0
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",sr_legacy_food,24,2019-04-01,0.8,0.0,0.0,0.2
