fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
168042,"Stew, dumpling with mutton (Navajo)",sr_legacy_food,24,2019-04-01,422.0,8.71,3.78,8.03,
168043,"Stew, hominy with mutton (Navajo)",sr_legacy_food,24,2019-04-01,83.0,6.71,2.06,9.38,2.0
168044,"Stew, mutton, corn, squash (Navajo)",sr_legacy_food,24,2019-04-01,103.0,8.62,4.34,7.27,1.7
168045,"Fish, salmon, sockeye (red), raw (Alaska Native)",sr_legacy_food,24,2019-04-01,153.0,21.94,7.28,0.0,0.0
168046,"Fish, Salmon, Chum, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,116.0,20.69,3.67,0.0,0.0
168047,"Fish, salmon, king (chinook), raw (Alaska Native)",sr_legacy_food,24,2019-04-01,187.0,20.25,11.73,0.0,0.0
168048,"Salmonberries, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,195.0,0.85,0.33,10.05,1.9
168049,"Caribou, shoulder meat, dried (Alaska Native)",sr_legacy_food,24,2019-04-01,271.0,59.38,3.67,0.0,0.0
168050,"Caribou, hind quarter meat, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,508.0,22.63,3.37,0.0,0.0
168051,"Seal, bearded (Oogruk), meat, dried, in oil (Alaska Native)",sr_legacy_food,24,2019-04-01,367.0,35.31,25.08,0.0,0.0
168052,"Fish, whitefish, dried (Alaska Native)",sr_legacy_food,24,2019-04-01,371.0,62.44,13.44,0.0,0.0
168053,"Seal, bearded (Oogruk), meat, low quadrant, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,778.0,23.63,10.17,0.0,0.0
168054,"Fish, salmon, chum, dried (Alaska Native)",sr_legacy_food,24,2019-04-01,378.0,62.09,14.38,0.0,0.0
168055,"Elk, free range, ground, cooked patties (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,598.0,29.45,2.8,0.0,
168056,"Elk, free range, ground, raw (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,97.0,20.14,1.8,0.0,0.0
168057,"Elk, free range, roast, eye of round, cooked (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,619.0,30.56,2.85,0.0,0.0
168058,"Chokecherries, raw, pitted (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,156.0,2.89,0.98,33.88,17.0
168059,"Steelhead trout, dried, flesh (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,1597.0,77.27,8.06,0.0,0.0
168060,"Steelhead trout, boiled, canned (Alaska Native)",sr_legacy_food,24,2019-04-01,159.0,21.11,8.26,0.0,0.0
168061,Acorn stew (Apache),sr_legacy_food,24,2019-04-01,399.0,6.81,3.47,9.22,0.7
168062,"Restaurant, Italian, chicken parmesan without pasta",sr_legacy_food,25,2019-04-01,854.0,16.17,10.64,10.92,0.9
168063,"Restaurant, Latino, arroz con leche (rice pudding)",sr_legacy_food,25,2019-04-01,610.0,3.2,3.69,24.92,0.5
168064,"Restaurant, Latino, Arroz con frijoles negros (rice and black beans)",sr_legacy_food,25,2019-04-01,151.0,4.64,3.85,24.4,3.4
168065,"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)",sr_legacy_food,25,2019-04-01,594.0,3.96,3.46,23.74,2.6
168066,"Restaurant, Latino, Arroz con grandules (rice and pigeonpeas)",sr_legacy_food,25,2019-04-01,182.0,3.5,4.98,30.75,1.4
168067,"Restaurant, Latino, tamale, pork",sr_legacy_food,25,2019-04-01,727.0,7.35,9.04,15.75,2.4
168068,"Restaurant, Latino, black bean soup",sr_legacy_food,25,2019-04-01,103.0,5.1,2.57,14.79,4.9
168069,"Restaurant, Latino, tripe soup",sr_legacy_food,25,2019-04-01,309.0,8.61,2.58,4.07,
168070,"Restaurant, Latino, arepa (unleavened cornmeal bread)",sr_legacy_food,25,2019-04-01,219.0,5.48,5.38,37.14,2.6
168071,"Restaurant, Latino, bunuelos (fried yeast bread)",sr_legacy_food,25,2019-04-01,1935.0,8.02,26.24,48.57,1.5
168072,"Restaurant, Chinese, beef and vegetables",sr_legacy_food,25,2019-04-01,440.0,7.08,5.3,7.29,1.5
168073,"CRACKER BARREL, chicken tenderloin platter, fried, from kid's menu",sr_legacy_food,25,2019-04-01,1231.0,18.67,15.41,20.24,1.0
168074,"CRACKER BARREL, country fried shrimp platter",sr_legacy_food,25,2019-04-01,1201.0,12.62,16.77,21.4,0.3
168075,"CRACKER BARREL, farm raised catfish platter",sr_legacy_food,25,2019-04-01,1115.0,22.94,17.05,5.31,1.6
168076,"DENNY'S, mozzarella cheese sticks",sr_legacy_food,25,2019-04-01,324.0,13.56,17.87,27.22,1.6
168077,"DENNY'S, golden fried shrimp",sr_legacy_food,25,2019-04-01,319.0,13.88,20.01,20.93,1.5
168078,"DENNY'S, macaroni & cheese, from kid's menu",sr_legacy_food,25,2019-04-01,626.0,5.19,4.92,21.16,1.2
168079,"DENNY'S, chicken nuggets, star shaped, from kid's menu",sr_legacy_food,25,2019-04-01,377.0,16.27,28.57,13.59,0.8
168080,"Restaurant, Chinese, shrimp and vegetables",sr_legacy_food,25,2019-04-01,327.0,5.9,4.05,4.52,1.4
168081,"Restaurant, Chinese, sweet and sour chicken",sr_legacy_food,25,2019-04-01,250.0,10.1,12.65,23.86,1.0
